,sub_id,s0,s1,s2,relevantDim,correctPhi,choice,act,rew
0,0,231,123,312,3,1,231,0,1.0
1,0,123,332,211,3,1,211,2,1.0
2,0,311,232,123,3,1,232,1,0.0
3,0,213,121,332,3,1,121,1,1.0
4,0,223,132,311,3,1,311,2,1.0
5,0,132,313,221,3,1,221,2,1.0
6,0,123,311,232,3,1,311,1,0.0
7,0,321,213,132,3,1,321,0,1.0
8,0,311,123,232,3,1,311,0,1.0
9,0,223,111,332,3,1,111,1,1.0
10,0,312,133,221,3,1,221,2,0.0
11,0,222,113,331,3,1,222,0,0.0
12,0,332,213,121,3,1,121,2,1.0
13,0,131,222,313,3,1,131,0,1.0
14,0,313,132,221,3,1,221,2,0.0
15,0,232,321,113,3,1,321,1,1.0
16,0,312,133,221,2,3,312,0,1.0
17,0,323,111,232,2,3,232,2,0.0
18,0,313,222,131,2,3,222,1,0.0
19,0,132,211,323,2,3,132,0,0.0
20,0,131,222,313,2,3,131,0,1.0
21,0,233,112,321,2,3,321,2,0.0
22,0,232,313,121,2,3,232,0,1.0
23,0,322,213,131,2,3,213,1,0.0
24,0,333,122,211,2,3,211,2,0.0
25,0,131,323,212,2,3,323,1,0.0
26,0,123,331,212,2,3,123,0,0.0
27,0,232,321,113,2,3,321,1,0.0
28,0,233,321,112,2,3,321,1,0.0
29,0,112,321,233,2,3,321,1,1.0
30,0,133,212,321,2,3,321,2,0.0
31,0,133,221,312,2,3,312,2,0.0
32,0,321,212,133,2,3,133,2,1.0
33,0,321,213,132,2,3,132,2,1.0
34,0,321,232,113,2,3,232,1,1.0
35,0,123,312,231,2,3,231,2,0.0
36,0,131,312,223,2,3,131,0,0.0
37,0,232,123,311,3,1,232,0,0.0
38,0,323,212,131,3,1,212,1,1.0
39,0,323,131,212,3,1,212,2,0.0
40,0,133,322,211,3,1,322,1,0.0
41,0,222,331,113,3,1,222,0,0.0
42,0,321,232,113,3,1,113,2,0.0
43,0,232,113,321,3,1,113,1,1.0
44,0,111,232,323,3,1,111,0,1.0
45,0,212,321,133,3,1,212,0,0.0
46,0,213,322,131,3,1,213,0,1.0
47,0,323,131,212,3,1,212,2,0.0
48,0,331,113,222,3,1,222,2,1.0
49,0,221,113,332,3,1,221,0,1.0
50,0,232,323,111,3,1,232,0,0.0
51,0,223,332,111,3,1,332,1,0.0
52,0,312,131,223,3,1,223,2,0.0
53,0,111,323,232,3,1,111,0,1.0
54,0,312,121,233,1,3,312,0,1.0
55,0,312,231,123,1,3,312,0,1.0
56,0,321,112,233,1,3,112,1,1.0
57,0,222,131,313,1,3,222,0,0.0
58,0,223,332,111,1,3,111,2,0.0
59,0,123,312,231,1,3,123,0,1.0
60,0,212,331,123,1,3,123,2,0.0
61,0,121,232,313,1,3,121,0,0.0
62,0,213,321,132,1,3,132,2,0.0
63,0,223,111,332,1,3,111,1,0.0
64,0,223,331,112,1,3,112,2,0.0
65,0,213,122,331,1,3,331,2,1.0
66,0,211,332,123,1,3,332,1,0.0
67,0,231,322,113,1,3,322,1,0.0
68,0,221,312,133,1,3,312,1,0.0
69,0,222,111,333,1,3,111,1,0.0
70,0,111,333,222,3,1,111,0,1.0
71,0,313,231,122,3,1,122,2,0.0
72,0,213,131,322,3,1,322,2,1.0
73,0,231,122,313,3,1,122,1,1.0
74,0,322,111,233,3,1,322,0,0.0
75,0,313,231,122,3,1,122,2,1.0
76,0,332,223,111,3,1,332,0,0.0
77,0,331,223,112,3,1,112,2,1.0
78,0,211,132,323,3,1,132,1,0.0
79,0,211,323,132,3,1,132,2,0.0
80,0,321,112,233,3,1,112,1,0.0
81,0,212,331,123,3,1,123,2,1.0
82,0,132,211,323,3,1,132,0,1.0
83,0,123,212,331,3,1,123,0,1.0
84,0,132,311,223,3,1,132,0,0.0
85,0,332,121,213,3,1,121,1,1.0
86,0,112,233,321,3,1,112,0,0.0
87,0,323,111,232,3,1,111,1,0.0
88,0,313,231,122,3,1,122,2,0.0
89,0,313,122,231,3,1,122,1,0.0
90,0,122,211,333,3,1,122,0,0.0
91,0,111,322,233,3,1,322,1,1.0
92,0,233,311,122,3,1,122,2,0.0
93,0,321,213,132,2,1,321,0,0.0
94,0,333,121,212,2,1,333,0,0.0
95,0,321,132,213,2,1,000,2,0.0
96,0,122,213,331,2,1,122,0,0.0
97,0,231,123,312,2,1,231,0,0.0
98,0,212,333,121,2,1,333,1,1.0
99,0,332,121,213,2,1,332,0,0.0
100,0,323,132,211,2,1,323,0,1.0
101,0,122,233,311,2,1,233,1,0.0
102,0,221,113,332,2,1,113,1,1.0
103,0,233,111,322,2,1,233,0,1.0
104,0,321,112,233,2,1,233,2,0.0
105,0,321,112,233,2,1,233,2,0.0
106,0,311,233,122,2,1,311,0,0.0
107,0,213,121,332,2,1,332,2,1.0
108,0,231,313,122,2,1,231,0,1.0
109,0,321,132,213,2,1,213,2,1.0
110,0,123,211,332,2,1,123,0,1.0
111,0,323,232,111,2,1,111,2,0.0
112,0,221,313,132,2,1,221,0,0.0
113,0,311,122,233,2,1,122,1,0.0
114,0,232,311,123,2,1,123,2,0.0
115,0,122,311,233,2,1,122,0,0.0
116,0,232,123,311,2,1,123,1,0.0
117,0,123,332,211,2,1,123,0,1.0
118,0,121,312,233,2,1,233,2,1.0
119,0,233,112,321,2,1,233,0,0.0
120,0,231,122,313,2,1,122,1,0.0
121,0,221,133,312,2,1,312,2,1.0
122,0,122,333,211,1,3,000,2,0.0
123,0,212,323,131,1,3,212,0,1.0
124,0,213,132,321,1,3,213,0,0.0
125,0,211,333,122,1,3,122,2,0.0
126,0,212,333,121,1,3,212,0,1.0
127,0,212,333,121,1,3,212,0,1.0
128,0,333,121,212,1,3,212,2,0.0
129,0,331,213,122,1,3,213,1,0.0
130,0,223,331,112,1,3,223,0,1.0
131,0,112,323,231,1,3,231,2,1.0
132,0,233,322,111,1,3,233,0,0.0
133,0,113,222,331,1,3,222,1,1.0
134,0,322,133,211,1,3,211,2,0.0
135,0,133,321,212,1,3,212,2,1.0
136,0,333,121,212,1,3,212,2,0.0
137,0,111,322,233,1,3,233,2,1.0
138,0,211,333,122,1,3,211,0,0.0
139,0,321,233,112,1,3,233,1,0.0
140,0,213,132,321,1,3,213,0,0.0
141,0,112,323,231,1,3,323,1,1.0
142,0,232,111,323,1,3,323,2,1.0
143,0,331,212,123,1,3,123,2,0.0
144,0,232,113,321,1,3,113,1,0.0
145,0,223,112,331,1,3,223,0,1.0
146,0,112,323,231,1,3,231,2,0.0
147,0,331,123,212,1,3,123,1,1.0
148,0,123,231,312,1,3,123,0,0.0
